,variable,value,date,times
328,circumplex.arousal,-1.0,2014-04-10,18:00:00.000
329,circumplex.arousal,-1.0,2014-04-10,21:00:00.000
330,circumplex.arousal,2.0,2014-04-11,10:00:00.000
331,circumplex.arousal,-2.0,2014-04-11,18:00:00.000
332,circumplex.arousal,-2.0,2014-04-11,21:00:00.000
333,circumplex.arousal,-2.0,2014-04-12,09:00:00.000
334,circumplex.arousal,1.0,2014-04-12,13:00:00.000
335,circumplex.arousal,-1.0,2014-04-12,16:00:00.000
336,circumplex.arousal,-1.0,2014-04-12,18:00:00.000
337,circumplex.arousal,-2.0,2014-04-12,21:00:00.000
338,circumplex.arousal,-2.0,2014-04-13,09:00:00.000
339,circumplex.arousal,-1.0,2014-04-13,12:00:00.000
340,circumplex.arousal,-1.0,2014-04-13,15:00:00.000
341,circumplex.arousal,-2.0,2014-04-13,18:00:00.000
342,circumplex.arousal,-2.0,2014-04-13,21:00:00.000
343,circumplex.arousal,2.0,2014-04-14,09:00:00.000
344,circumplex.arousal,1.0,2014-04-14,12:00:00.000
345,circumplex.arousal,-2.0,2014-04-14,18:00:00.000
346,circumplex.arousal,-2.0,2014-04-14,21:00:00.000
347,circumplex.arousal,-2.0,2014-04-15,09:00:00.000
348,circumplex.arousal,-1.0,2014-04-15,12:00:00.000
349,circumplex.arousal,-1.0,2014-04-15,15:00:00.000
350,circumplex.arousal,-1.0,2014-04-15,18:00:00.000
351,circumplex.arousal,-2.0,2014-04-15,21:00:00.000
352,circumplex.arousal,-1.0,2014-04-16,09:00:00.000
353,circumplex.arousal,-2.0,2014-04-16,12:00:00.000
354,circumplex.arousal,1.0,2014-04-16,15:00:00.000
355,circumplex.arousal,1.0,2014-04-16,18:00:00.000
356,circumplex.arousal,-1.0,2014-04-16,22:00:00.000
357,circumplex.arousal,-1.0,2014-04-17,09:00:00.000
358,circumplex.arousal,-1.0,2014-04-17,12:00:00.000
359,circumplex.arousal,0.0,2014-04-17,15:00:00.000
360,circumplex.arousal,0.0,2014-04-17,18:00:00.000
361,circumplex.arousal,-2.0,2014-04-17,21:00:00.000
362,circumplex.arousal,-2.0,2014-04-18,09:00:00.000
363,circumplex.arousal,-2.0,2014-04-18,12:00:00.000
364,circumplex.arousal,0.0,2014-04-18,15:00:00.000
365,circumplex.arousal,0.0,2014-04-18,18:00:00.000
366,circumplex.arousal,-2.0,2014-04-18,21:00:00.000
367,circumplex.arousal,-2.0,2014-04-19,11:00:00.000
368,circumplex.arousal,-1.0,2014-04-19,12:00:00.000
369,circumplex.arousal,-1.0,2014-04-19,15:00:00.000
370,circumplex.arousal,-1.0,2014-04-19,18:00:00.000
371,circumplex.arousal,-1.0,2014-04-19,21:00:00.000
372,circumplex.arousal,-2.0,2014-04-20,09:00:00.000
373,circumplex.arousal,-1.0,2014-04-20,16:00:00.000
374,circumplex.arousal,-1.0,2014-04-20,18:00:00.000
375,circumplex.arousal,-1.0,2014-04-20,21:00:00.000
376,circumplex.arousal,-2.0,2014-04-21,09:00:00.000
377,circumplex.arousal,-1.0,2014-04-21,12:00:00.000
378,circumplex.arousal,-2.0,2014-04-21,15:00:00.000
379,circumplex.arousal,-1.0,2014-04-21,18:00:00.000
380,circumplex.arousal,-2.0,2014-04-21,21:00:00.000
381,circumplex.arousal,-2.0,2014-04-22,10:00:00.000
382,circumplex.arousal,-1.0,2014-04-22,12:00:00.000
383,circumplex.arousal,1.0,2014-04-22,15:00:00.000
384,circumplex.arousal,-1.0,2014-04-22,18:00:00.000
385,circumplex.arousal,-1.0,2014-04-22,21:00:00.000
386,circumplex.arousal,-2.0,2014-04-23,09:00:00.000
387,circumplex.arousal,-1.0,2014-04-23,12:00:00.000
388,circumplex.arousal,-1.0,2014-04-23,15:00:00.000
389,circumplex.arousal,-1.0,2014-04-23,18:00:00.000
390,circumplex.arousal,-2.0,2014-04-23,21:00:00.000
