,id,time,variable,value
10224,AS14.28,2014-04-08 17:00:00.000,circumplex.arousal,0
10225,AS14.28,2014-04-08 21:00:00.000,circumplex.arousal,-1
10226,AS14.28,2014-04-09 20:00:00.000,circumplex.arousal,-1
10227,AS14.28,2014-04-09 21:00:00.000,circumplex.arousal,-1
10228,AS14.28,2014-04-10 09:00:00.000,circumplex.arousal,-2
10229,AS14.28,2014-04-10 14:00:00.000,circumplex.arousal,0
10230,AS14.28,2014-04-10 19:00:00.000,circumplex.arousal,-1
10231,AS14.28,2014-04-10 21:00:00.000,circumplex.arousal,-1
10232,AS14.28,2014-04-11 11:00:00.000,circumplex.arousal,-1
10233,AS14.28,2014-04-11 12:00:00.000,circumplex.arousal,0
10234,AS14.28,2014-04-11 15:00:00.000,circumplex.arousal,-1
10235,AS14.28,2014-04-11 19:00:00.000,circumplex.arousal,1
10236,AS14.28,2014-04-11 21:00:00.000,circumplex.arousal,-2
10237,AS14.28,2014-04-12 09:00:00.000,circumplex.arousal,-2
10238,AS14.28,2014-04-12 12:00:00.000,circumplex.arousal,0
10239,AS14.28,2014-04-12 15:00:00.000,circumplex.arousal,0
10240,AS14.28,2014-04-12 18:00:00.000,circumplex.arousal,-1
10241,AS14.28,2014-04-12 21:00:00.000,circumplex.arousal,NA
10242,AS14.28,2014-04-13 09:00:00.000,circumplex.arousal,-1
10243,AS14.28,2014-04-13 12:00:00.000,circumplex.arousal,0
10244,AS14.28,2014-04-13 15:00:00.000,circumplex.arousal,0
10245,AS14.28,2014-04-13 18:00:00.000,circumplex.arousal,0
10246,AS14.28,2014-04-13 21:00:00.000,circumplex.arousal,-2
10247,AS14.28,2014-04-14 09:00:00.000,circumplex.arousal,0
10248,AS14.28,2014-04-14 12:00:00.000,circumplex.arousal,NA
10249,AS14.28,2014-04-14 15:00:00.000,circumplex.arousal,-1
10250,AS14.28,2014-04-14 18:00:00.000,circumplex.arousal,-1
10251,AS14.28,2014-04-14 21:00:00.000,circumplex.arousal,-2
10252,AS14.28,2014-04-15 10:00:00.000,circumplex.arousal,0
10253,AS14.28,2014-04-15 12:00:00.000,circumplex.arousal,0
10254,AS14.28,2014-04-15 15:00:00.000,circumplex.arousal,-1
10255,AS14.28,2014-04-15 17:00:00.000,circumplex.arousal,1
10256,AS14.28,2014-04-15 20:00:00.000,circumplex.arousal,-1
10257,AS14.28,2014-04-16 09:00:00.000,circumplex.arousal,0
10258,AS14.28,2014-04-16 11:00:00.000,circumplex.arousal,0
10259,AS14.28,2014-04-16 17:00:00.000,circumplex.arousal,1
10260,AS14.28,2014-04-16 17:00:00.000,circumplex.arousal,1
10261,AS14.28,2014-04-16 21:00:00.000,circumplex.arousal,1
10262,AS14.28,2014-04-17 09:00:00.000,circumplex.arousal,NA
10263,AS14.28,2014-04-17 14:00:00.000,circumplex.arousal,0
10264,AS14.28,2014-04-17 15:00:00.000,circumplex.arousal,0
10265,AS14.28,2014-04-17 17:00:00.000,circumplex.arousal,-1
10266,AS14.28,2014-04-17 21:00:00.000,circumplex.arousal,-1
10267,AS14.28,2014-04-18 09:00:00.000,circumplex.arousal,-1
10268,AS14.28,2014-04-18 12:00:00.000,circumplex.arousal,-1
10269,AS14.28,2014-04-18 15:00:00.000,circumplex.arousal,1
10270,AS14.28,2014-04-18 18:00:00.000,circumplex.arousal,1
10271,AS14.28,2014-04-18 21:00:00.000,circumplex.arousal,-1
10272,AS14.28,2014-04-19 09:00:00.000,circumplex.arousal,-1
10273,AS14.28,2014-04-19 12:00:00.000,circumplex.arousal,0
10274,AS14.28,2014-04-19 17:00:00.000,circumplex.arousal,0
10275,AS14.28,2014-04-19 21:00:00.000,circumplex.arousal,-1
10276,AS14.28,2014-04-20 09:00:00.000,circumplex.arousal,-1
10277,AS14.28,2014-04-20 12:00:00.000,circumplex.arousal,0
10278,AS14.28,2014-04-20 17:00:00.000,circumplex.arousal,1
10279,AS14.28,2014-04-20 17:00:00.000,circumplex.arousal,-1
10280,AS14.28,2014-04-20 21:00:00.000,circumplex.arousal,-1
10281,AS14.28,2014-04-21 08:00:00.000,circumplex.arousal,0
10282,AS14.28,2014-04-21 13:00:00.000,circumplex.arousal,0
10283,AS14.28,2014-04-21 15:00:00.000,circumplex.arousal,NA
10284,AS14.28,2014-04-21 17:00:00.000,circumplex.arousal,0
10285,AS14.28,2014-04-21 20:00:00.000,circumplex.arousal,-1
10286,AS14.28,2014-04-22 09:00:00.000,circumplex.arousal,0
10287,AS14.28,2014-04-22 15:00:00.000,circumplex.arousal,0
10288,AS14.28,2014-04-22 19:00:00.000,circumplex.arousal,-1
10289,AS14.28,2014-04-22 21:00:00.000,circumplex.arousal,-2
10290,AS14.28,2014-04-23 09:00:00.000,circumplex.arousal,1
10291,AS14.28,2014-04-23 13:00:00.000,circumplex.arousal,1
10292,AS14.28,2014-04-23 15:00:00.000,circumplex.arousal,NA
10293,AS14.28,2014-04-23 18:00:00.000,circumplex.arousal,NA
10294,AS14.28,2014-04-23 20:00:00.000,circumplex.arousal,-1
10295,AS14.28,2014-04-24 09:00:00.000,circumplex.arousal,1
10296,AS14.28,2014-04-24 12:00:00.000,circumplex.arousal,0
10297,AS14.28,2014-04-24 15:00:00.000,circumplex.arousal,0
10298,AS14.28,2014-04-24 18:00:00.000,circumplex.arousal,-1
10299,AS14.28,2014-04-24 21:00:00.000,circumplex.arousal,-1
10300,AS14.28,2014-04-25 09:00:00.000,circumplex.arousal,-1
10301,AS14.28,2014-04-25 12:00:00.000,circumplex.arousal,-1
10302,AS14.28,2014-04-25 15:00:00.000,circumplex.arousal,0
10303,AS14.28,2014-04-25 18:00:00.000,circumplex.arousal,0
10304,AS14.28,2014-04-25 22:00:00.000,circumplex.arousal,1
10305,AS14.28,2014-04-26 12:00:00.000,circumplex.arousal,0
10306,AS14.28,2014-04-26 15:00:00.000,circumplex.arousal,0
10307,AS14.28,2014-04-27 10:00:00.000,circumplex.arousal,0
10308,AS14.28,2014-04-27 12:00:00.000,circumplex.arousal,0
10309,AS14.28,2014-04-27 19:00:00.000,circumplex.arousal,1
10310,AS14.28,2014-04-27 21:00:00.000,circumplex.arousal,0
10311,AS14.28,2014-04-28 08:00:00.000,circumplex.arousal,0
10312,AS14.28,2014-04-28 21:00:00.000,circumplex.arousal,-1
10313,AS14.28,2014-04-29 09:00:00.000,circumplex.arousal,0
10314,AS14.28,2014-04-29 12:00:00.000,circumplex.arousal,0
10315,AS14.28,2014-04-29 14:00:00.000,circumplex.arousal,0
10316,AS14.28,2014-04-29 18:00:00.000,circumplex.arousal,0
10317,AS14.28,2014-04-29 21:00:00.000,circumplex.arousal,-1
10318,AS14.28,2014-04-30 08:00:00.000,circumplex.arousal,-1
10319,AS14.28,2014-04-30 12:00:00.000,circumplex.arousal,0
10320,AS14.28,2014-04-30 14:00:00.000,circumplex.arousal,0
10321,AS14.28,2014-04-30 19:00:00.000,circumplex.arousal,0
10322,AS14.28,2014-04-30 20:00:00.000,circumplex.arousal,0
10323,AS14.28,2014-05-01 09:00:00.000,circumplex.arousal,-1
10324,AS14.28,2014-05-01 11:00:00.000,circumplex.arousal,0
10325,AS14.28,2014-05-01 15:00:00.000,circumplex.arousal,0
10326,AS14.28,2014-05-01 18:00:00.000,circumplex.arousal,-1
10327,AS14.28,2014-05-01 20:00:00.000,circumplex.arousal,-1
10328,AS14.28,2014-05-02 09:00:00.000,circumplex.arousal,0
10329,AS14.28,2014-05-02 12:00:00.000,circumplex.arousal,NA
10330,AS14.28,2014-05-02 15:00:00.000,circumplex.arousal,0
10331,AS14.28,2014-05-02 18:00:00.000,circumplex.arousal,0
10332,AS14.28,2014-05-02 21:00:00.000,circumplex.arousal,-2
10333,AS14.28,2014-05-03 09:00:00.000,circumplex.arousal,0
10334,AS14.28,2014-05-03 14:00:00.000,circumplex.arousal,NA
10335,AS14.28,2014-05-03 15:00:00.000,circumplex.arousal,0
