time,variable,value
2014-05-23 08:00:00.000,circumplex.valence,-1
2014-05-23 12:00:00.000,circumplex.valence,0
2014-05-23 16:00:00.000,circumplex.valence,0
2014-05-23 19:00:00.000,circumplex.valence,-1
2014-05-23 21:00:00.000,circumplex.valence,1
2014-05-24 09:00:00.000,circumplex.valence,1
2014-05-24 12:00:00.000,circumplex.valence,1
2014-05-24 15:00:00.000,circumplex.valence,-1
2014-05-24 18:00:00.000,circumplex.valence,0
2014-05-25 11:00:00.000,circumplex.valence,1
2014-05-25 12:00:00.000,circumplex.valence,0
2014-05-25 15:00:00.000,circumplex.valence,0
2014-05-26 10:00:00.000,circumplex.valence,1
2014-05-26 14:00:00.000,circumplex.valence,-1
2014-05-26 15:00:00.000,circumplex.valence,0
2014-05-26 18:00:00.000,circumplex.valence,0
2014-05-26 21:00:00.000,circumplex.valence,0
2014-05-27 10:00:00.000,circumplex.valence,0
2014-05-27 13:00:00.000,circumplex.valence,1
2014-05-27 15:00:00.000,circumplex.valence,-1
2014-05-27 18:00:00.000,circumplex.valence,1
2014-05-27 21:00:00.000,circumplex.valence,1
2014-05-28 09:00:00.000,circumplex.valence,2
2014-05-28 14:00:00.000,circumplex.valence,1
2014-05-28 16:00:00.000,circumplex.valence,2
2014-05-28 20:00:00.000,circumplex.valence,1
2014-05-28 21:00:00.000,circumplex.valence,0
2014-05-29 10:00:00.000,circumplex.valence,1
2014-05-29 13:00:00.000,circumplex.valence,1
2014-05-29 15:00:00.000,circumplex.valence,1
2014-05-30 00:00:00.000,circumplex.valence,-1
2014-05-30 09:00:00.000,circumplex.valence,1
2014-05-30 13:00:00.000,circumplex.valence,0
2014-05-30 19:00:00.000,circumplex.valence,-1
2014-05-30 20:00:00.000,circumplex.valence,-1
2014-05-31 12:00:00.000,circumplex.valence,1
2014-04-16 13:00:00.000,activity,0.142857142857143
2014-04-16 14:00:00.000,activity,0.217741935483871
2014-04-16 15:00:00.000,activity,0.341666666666667
2014-04-16 16:00:00.000,activity,0.225806451612903
2014-04-16 17:00:00.000,activity,0.0583333333333333
2014-04-16 18:00:00.000,activity,0.0254237288135593
2014-04-16 19:00:00.000,activity,0.00840336134453781
2014-04-16 20:00:00.000,activity,0.0166666666666667
2014-04-16 21:00:00.000,activity,0
2014-04-16 22:00:00.000,activity,0
2014-04-16 23:00:00.000,activity,0.00840336134453781
2014-04-17 00:00:00.000,activity,0
2014-04-17 01:00:00.000,activity,0.0333333333333333
2014-04-17 02:00:00.000,activity,0
2014-04-17 03:00:00.000,activity,0
2014-04-17 04:00:00.000,activity,0
2014-04-17 05:00:00.000,activity,0
2014-04-17 06:00:00.000,activity,0.075
2014-04-17 07:00:00.000,activity,0.346774193548387
2014-04-17 08:00:00.000,activity,0.225
2014-04-17 09:00:00.000,activity,0.0803571428571429
